,POSITIVE,NEGATIVE
impressionism,1,0
punkhiphop,1,0
backbeat,1,0
spidercat,1,0
fantasydeepening,1,0
bleedingedge,1,0
radicalism,3,0
elsea,1,0
pruning,1,0
frustrate,2,0
banksyinspired,1,0
backed,7,1
immersion,10,0
radioactive,2,1
cyclonic,1,0
collage,3,1
stateofthe,3,0
twentysomethings,1,0
tiktok,1,0
overstatement,3,1
hypermodern,1,0
roy,9,0
lichtensteinesque,1,0
pointillism,1,0
retrofuturistic,1,0
swirling,9,2
serenity,5,0
storyfully,1,0
retrospect,7,0
stalling,1,0
flipbook,1,0
distill,1,0
manageable,2,0
tobecontinued,1,1
churlish,2,0
chastise,1,0
spideriteration,1,0
ornate,5,1
twohourandtwentyminute,1,0
comma,1,0
runon,2,0
spidersentence,1,0
tandem,4,0
heartstringpuller,1,0
9510,1,0
whitemale,1,1
exceptionalist,1,0
obliged,1,2
stressful,5,0
visuallyspectacular,1,0
unsatisfying,5,9
nearequal,1,0
quibbling,1,0
friendsoulmateheroine,1,0
stacey,1,0
laundry,1,2
fourfeet,0,1
nonspidermanexpert,0,1
40somethings,0,1
brainbendingly,0,1
incoherent,3,23
sensoryoverloadonsteroids,1,0
drowning,5,1
hyperniche,1,0
predecessor—and,1,0
superherocomics,2,0
resting,2,2
braintwisting,1,0
revision,1,0
overseen,2,0
illustrator,2,0
zappy,1,0
joaquim,1,0
santos,1,0
justin,2,4
thompson,24,1
kemp,8,0
glitch,1,0
zigzaggy,1,0
metaverse,1,0
eyesbrains,1,0
aforementioned,2,1
installation,2,0
writersproducers,1,0
inuniverse,1,0
reinvents,11,0
entrust,1,0
twopart,1,0
word—wow,1,0
whetted,1,0
reinvigorate,5,0
spideysense,1,0
halfamovie,1,0
gatekeeping,1,0
spiderpersons,1,0
criticize,6,1
extensively,2,0
ushering,4,0
splitting,5,0
aggravation,2,0
envelopepushing,1,0
mileslong,1,0
receipt,1,1
muddylooking,1,0
levitating,1,0
minutetominute,2,0
whirligig,1,0
tether,1,0
od,1,0
cocaine,3,1
multispider,1,0
dudesdudines,1,0
drawer,1,0
mindbreaking,1,0
adorned,0,1
humdrum,3,5
stealer,3,1
issa,1,0
rae,1,1
raes,1,0
awardwinner,2,0
lineup,4,0
swung,2,0
overexposed,2,0
heir,7,0
illogical,2,3
nigh,3,0
dominated,9,0
koons,1,0
twofilm,1,0
spiderpeople,1,0
headset,1,0
upan,0,1
overpopulated,0,1
itwill,0,1
spideydevotees,0,1
woozy,6,1
smeary,1,0
nearchaotic,1,0
indulges,2,0
allencompassing,3,0
venue,2,0
skyrocket,1,0
invert,1,1
loading,1,0
studious,2,0
oddisey,1,0
spiderly,1,0
tripping,4,1
strangefrom,1,0
opart,1,0
hobie,1,0
bullock,19,13
lichtenstein,1,0
genreenlivening,1,0
homageseaster,1,0
responsibilityeasily,1,0
proselytizes,1,0
multiplicity,1,0
justifiable,3,0
monologue,10,0
alleviate,2,1
middlemovie,1,0
bode,1,1
blur,10,2
senseit,1,0
offense,4,0
tobey,1,0
marc,2,1
garfield,5,2
jon,35,6
watt,24,1
aspectadvancing,1,0
1937…,1,0
experimentation,6,0
multitiered,1,0
stared,1,0
peppering,2,0
paneltopanel,1,0
teenangsty,1,0
repurposing,2,0
watercolor,2,0
spidervariations,1,0
nominally,1,1
draftsmanship,1,0
inconsistent,2,5
graffiti,4,1
adherent,1,0
edits,5,2
word⁠—masterpiece,1,0
weaved,3,0
elect,3,1
moralesled,1,0
webhead,1,0
knobbly,1,0
fitinducing,1,0
mcu,134,3
plug,4,2
wringing,3,0
truest,9,0
intersect,5,0
saddrunk,0,1
slurrily,0,1
outstaying,0,1
triumphfrom,1,0
nonliveaction,1,0
humanmade,1,0
recontextualizes,1,0
audio,6,1
leaden,4,10
warhol,1,1
hawking,1,0
composer,10,2
pemberton,1,0
exists—thankfully,1,0
swinging,7,0
stacy,1,0
heartstring,2,0
jumble,2,7
mimicry,4,2
multiplies,1,0
revisionist,10,2
sight…captures,1,0
flow…,1,0
ennio,13,0
morricone,3,0
twonote,1,0
flute,2,0
folksy,3,0
corollary,1,0
blueleone,1,0
cemetery,1,0
morricones,11,0
gbu,1,0
conjunction,2,0
skeletal,3,1
pokerfaced,3,1
nemesis,3,0
wallach,1,0
cleef,1,0
italianwestern,1,0
shootem,1,0
upwar,1,0
fella,2,0
cesspool,1,3
satisfactionhowever,1,0
fleetingis,1,0
acquisition,2,1
nowiconic,1,0
ongoingly,1,0
cache,1,1
161,0,1
recast,3,0
scorched,3,1
receives,4,2
meted,2,0
pricier,1,0
italo,0,1
feeble,1,10
offensively,0,3
endows,4,0
ordained,1,1
threeway,1,0
eightlane,1,0
gargoylefaced,1,0
henchman,4,1
tumbleweed,4,1
coyote,2,0
impatient,7,0
greatestwatch,1,0
squinty,1,0
uglys,1,0
fistful,7,0
estuary,1,0
artiste,2,0
techniscope,2,0
marginal,5,2
uncut,2,0
reclaims,2,0
tonino,1,0
delli,1,0
collis,1,0
furrow,1,0
weighs,4,0
insignificant,5,0
freeflowing,2,0
eastwoods,26,1
bloodred,1,0
douglas,17,0
sirk,2,0
gatling,1,0
sunbaked,2,0
spain,7,1
solidified,2,0
cinematics,1,0
fortyfive,1,0
yates,27,1
decorated,3,0
teased,4,0
dumbledore,2,0
helpfully,2,0
welldeveloped,4,0
hallows,38,3
nostalgiafest,1,0
radcliffe,8,0
owlish,1,0
muggles,2,0
fullest,11,0
fizz,6,3
voldemort,6,0
harrys,5,0
unmoved,2,3
spottiest,1,0
eightfilm,3,0
radcliffes,2,0
wand,10,2
hogwarts,5,0
witchcraft,2,1
decadelong,6,0
unifies,2,0
kinship,4,0
storied,7,1
rickman,4,0
actorly,1,0
befitting,8,0
perspectivetechnical,1,0
storytellingdeathly,1,0
horcruxes,1,0
endit,1,0
whimpering,2,0
contrarian,2,0
haveahankyhandy,1,0
ollivander,1,0
assuredly,6,0
oversees,1,0
protacted,1,0
stimulatingly,1,0
fictitious,3,1
zillion,1,0
stoneheavy,0,1
selfseriousness,3,1
cgiladen,1,1
rowlings,12,0
swaying,2,0
cierre,1,0
franquicia,2,0
seguramente,1,0
decepcione,1,0
casi,4,0
nadie,3,0
hace,2,0
falta,1,2
fanático,1,0
esperar,1,1
culminación,1,0
ansiedad,1,0
emocionarse,1,0
campbell,12,2
adulthooda,1,0
messianic,3,0
purposedriven,1,0
adventureladen,1,0
72,1,0
scaffolding,1,0
bea,1,0
whollysatisfying,1,0
lopsided,1,1
worthyepically,1,0
worthyof,1,0
station,69,6
journeyed,1,0
drawnout,1,4
uninitiated,3,1
ofttimes,1,0
jk,30,1
pleasingly,13,0
kloves,9,0
360,2,0
threesome,2,0
beall,1,0
endall,1,0
grint,1,0
watson,2,0
bungle,0,3
builtin,2,1
interpreting,1,1
condensed,2,0
cantputdown,1,0
nottobemissed,2,0
vanquished,2,1
reversed,1,0
predominant,2,1
dramaturgy,2,0
frosted,1,0
mate,3,0
muggle,1,0
skywalker,5,1
hauling,1,0
finality,6,1
wizarding,1,0
advised,2,1
rampaging,2,1
emerging,9,0
begrudgingly,2,0
mystifying,1,0
semicommitted,1,0
illiterate,1,0
hamming,2,0
overegging,1,0
thespis,1,0
kubrickstyle,1,0
eas,2,1
enthused,1,0
spellcasting,1,0
broomstick,1,0
devotedly,1,0
whizkid,2,0
selfless,3,0
onceinageneration,1,0
obliviates,1,0
waded,1,0
everburgeoning,1,0
compete,11,3
ron,22,8
hermione,1,0
basilisk,1,0
parseltongue,1,0
polyjuice,1,0
potion,1,0
castle,4,3
eightpart,1,0
sevenbook,1,0
waving,3,0
wandtwirlers,1,0
twoplus,4,0
fxdriven,2,0
hocus,1,0
pocus,1,0
unruly,4,1
dullest,0,2
molded,2,2
4hour,1,1
eduardo,2,0
serra,2,0
vale,1,0
languished,1,0
corporeal,1,0
evermeaner,1,0
adapter,1,0
hurried,1,0
profitable,7,4
pottermania,1,0
harrypotterness,1,0
convergence,2,0
inflated,6,1
simmered,1,0
halfjubilant,1,0
halfmournful,1,0
savored,10,0
plow,4,0
albus,1,0
stanza,1,0
longo,1,0
década,1,0
série,3,0
transportou,1,0
crianças,1,0
idade,1,0
viagem,1,0
intensa,2,0
imaginativa,1,0
envolvente,1,1
tocante,3,0
deliciosa,1,0
itmaybe,1,0
filmmakingbut,1,0
nearlyflawless,1,0
sentmental,1,0
130minutes,0,1
unfocused,3,7
supernaturalthemed,0,1
sludge,1,2
describing,6,3
eightmovie,1,0
fauxmajestic,0,1
freighted,1,0
hardwon,3,0
horcrux,1,0
straying,2,1
voorhees,1,0
infiltrate,2,1
freddie,5,4
krueger,1,1
dora,3,0
explorer,3,0
longinthemaking,1,0
precariously,1,0
completion,4,0
dropout,1,0
emotioncharged,1,0
bidding,3,1
eyescorching,1,0
earbattering,1,0
yatess,1,0
subsidiary,1,0
mostsatisfying,1,0
realising,2,0
abbreviated,2,1
rambling,7,3
firsthalf,1,0
adapting,13,1
fabled,5,0
longpromised,1,0
overshadows,4,3
hpatdh,1,0
funereal,2,0
bookending,1,1
stint,5,1
bespectacled,1,0
corduroywearing,1,0
wanderfully,1,0
proposition,7,1
damp,4,0
wizardwar,1,0
potterlore,1,0
eater,2,1
stole,8,1
clarice,2,0
starling,6,0
hannibal,8,0
lecter,14,0
contemptible,1,3
aberrance,1,0
fatalist,1,0
—and,1,0
eyes—,1,0
cannibal,3,0
unacceptable,1,2
demme,17,1
13ths,1,0
reprehensible,3,1
jodie,12,1
topbilled,1,0
bonechiller,1,0
glenn,4,1
normalcy,3,0
manhunter,0,1
demmes,15,2
psychosis,4,0
deceived,1,1
largetoothed,1,0
blake,2,2
unseen,9,0
nervousness,1,0
tak,2,0
fujimotos,1,0
doomladen,2,0
tightlipped,1,0
halferased,1,0
lector,1,0
caressing,1,1
harris,11,1
paragraph,2,0
ultrarealistic,1,0
mutilate,1,0
devour,3,0
avert,5,0
overmuscled,1,0
stomachinaknot,1,0
arid,6,0
brokenbacked,0,1
fastidious,2,0
sexfearing,1,0
pyrrhic,1,0
aftertaste,4,0
relaxation,1,0
frazzling,1,0
psychothriller,3,2
constitutionally,1,0
queasiness,2,0
coolness,4,0
edvard,1,0
munch,2,0
bacon,3,3
forensic,2,0
clarices,2,0
quid,1,0
toyed,1,0
trainee,2,0
nonomniscience,1,0
oddcouple,3,0
118,2,1
tortoiselike,1,0
decaying,1,0
husk,1,1
atrophied,1,0
poelike,1,0
eery,1,0
ultrasecure,1,0
systematic,1,2
credential,4,1
gnarled,1,2
indefensible,0,1
supergory,1,0
multioscarwinning,3,0
showpiece,2,0
dwarfed,2,1
brainiac,3,1
tackletucking,1,0
jame,2,0
gumb,1,0
ted,4,2
levine,1,0
ménages,1,0
trois,1,0
juiciest,1,0
personification,3,0
phoniness,1,0
homophobic,2,1
levines,1,0
awarded,2,0
murderously,2,0
sociopathic,6,1
expend,0,1
repellent,1,5
unilluminating,0,1
leathery,3,0
petrifying,1,0
followtheclues,1,0
getthebadguy,1,0
fujimoto,1,0
unholy,2,1
maw,1,1
1991,5,0
enclosed,1,0
festivity,1,0
christening,2,0
bookended,4,0
florid,3,2
halfpaying,1,0
fanny,5,0
stepfather,1,0
declares,1,0
summingup,1,0
agreed,2,5
lantern,1,1
prospero,1,0
ornately,1,0
312,1,0
lutheran,1,0
funeral,2,2
dickensian,2,0
bront,1,0
chekhov,1,0
bettered,5,0
passport,3,0
shifted,3,0
peaceful,6,0
cautionless,1,0
benediction,5,0
incarnate,1,0
sleekest,2,0
silkiest,1,0
tierney,3,0
offcamera,1,0
laura,22,2
scriptwriter,4,1
enticingly,2,0
preminger,12,0
facade,3,0
cinmathque,1,0
annotation,1,0
premingers,9,0
characteristically,4,2
dirtier,1,0
otto,10,0
hipteses,1,0
medocre,1,0
sombria,1,0
msicatema,1,0
transformam,1,0
marco,6,1
importante,1,0
nascente,1,0
deathlessly,1,0
interpretable,1,0
vincent,6,0
weakwilled,1,0
neerdowell,1,0
miseenscne,1,0
clifton,2,0
effete,1,1
lauras,2,0
mentor,3,2
protruding,1,1
87minute,1,0
casparys,1,0
lather,2,0
kinkiness,1,0
selfdelusion,1,0
thrillerwhodunit,1,0
lydecker,1,0
whodunwhat,1,0
prehorror,1,0
pryce,1,0
shopping,1,1
featherweight,4,0
sullavan,13,0
lubitsch,57,2
kettle,2,0
ernst,10,0
lighted,1,0
evanescent,1,0
personnel,3,0
matuschek,1,0
budapest,3,1
cinch,4,0
salesmanship,1,0
corp,2,0
molnaresque,1,0
silken,2,0
felix,3,0
bressart,2,0
embroidered,1,0
fancywork,1,0
customer,8,0
toyshop,1,0
chuckling,3,1
determine,6,2
workaday,3,0
sullivan,8,0
adroitness,1,0
abounding,1,0
whim,1,0
quaintness,1,0
shortstory,1,0
schildkraut,2,0
stooge,1,2
laughgetting,1,0
ninotchka,1,0
sullavans,2,0
indefinable,1,0
indigestion,1,0
frown,1,1
spoiled,3,3
unworthiness,1,0
byplot,1,0
unfaithfulness,1,0
overshadow,3,0
metamorphosis,4,0
clerk,7,1
battler,1,0
diffident,1,0
crabbed,1,0
shopkeeper,1,0
continental,2,1
buda,1,0
pest,1,0
chitchat,1,0
bundle,5,1
goodsized,1,0
neighborly,3,0
gayety,1,0
virtuous,2,0
prattling,1,0
spikiest,1,0
fractious,1,0
spar,4,0
unemployed,1,1
straitened,1,0
decor,4,0
walkon,1,0
satirize,2,1
extranarrative,1,0
underpaid,1,0
workforce,2,0
apprehension,4,1
buildingblock,1,0
sculpting,2,0
plotturns,1,0
foreseeable,1,0
multinuanced,1,0
samson,1,0
raphaelson,1,0
untangle,1,0
wellscripted,1,0
stamp,20,2
undercurrents…,1,0
curdles,1,0
bathos,4,0
remade,4,1
charmosa,1,0
comdia,2,0
romntica,2,0
irnico,1,0
igualmente,1,0
nobre,1,0
interao,2,0
timos,1,0
romantismo,1,0
hungarian,1,1
pastry,4,1
25thcentury,1,0
historian,2,0
rosalind,13,0
cavorts,1,0
newspapering,1,0
dialoged,1,0
occupying,4,0
afire,1,0
breezier,1,0
steam,7,10
brassy,4,0
blitzkreig,1,0
bellamy,5,0
lockhart,1,0
qualen,1,0
helen,2,0
mack,2,1
conniving,2,0
sentimentalist,1,0
hildy,1,0
raciest,1,0
slickest,1,0
topranking,2,0
bewilderingly,1,0
tastelessness,2,1
hideandseek,1,0
vehemence,1,0
imitating,4,2
keynote,2,1
actionplus,1,0
collegelevel,1,0
liberation,8,1
topspeed,1,0
agility,5,1
diamondcutdiamond,1,0
unflappable,3,0
snappiest,2,0
exwife,1,0
weaponized,1,0
lovehate,3,0
overlapping,4,0
manoeuvring,1,0
parity,1,0
roughest,1,0
sandpapered,1,0
excised,2,3
pressrooms,1,0
whiskey,2,0
hechtmacarthur,1,0
interpolation,1,0
synthetic,4,3
deathrow,1,0
semblance,5,4
fridaythat,1,0
newspaperlooks,1,0
thrive,8,0
protags,2,0
ritmo,2,0
frentico,1,0
excelentes,2,0
trocados,1,0
inovador,1,0
poca,2,0
cmico,1,0
impecvel,1,0
garantem,1,0
permanncia,1,0
deste,2,1
lista,1,0
inquestionveis,1,0
espresso,2,0
muckraking,1,0
fasttalking,2,0
sharpie,1,0
scruff,3,0
hoarsely,1,0
barb,3,0
infernal,9,3
remarques,2,0
groundless,1,0
laemmle,1,0
bombardment,3,2
enacts,1,0
bares,1,1
passible,1,0
relieving,3,0
1917,0,1
photographic,3,1
wolheim,1,0
katcynski,1,0
ayres,5,0
trench,6,1
reproduced,1,0
distinctness,1,0
clearness,1,0
remarque,2,0
braumer,1,0
filth,3,0
illuminated,1,0
comradeship,1,0
proverbial,5,1
katczinsky,1,0
wolhein,1,0
masterpicture,1,0
humanness,2,0
warfilms,1,0
rabidly,1,0
wellroundedness,1,0
structuring,3,0
forcibly,2,0
rivet,6,0
slaughter,4,3
blasted,2,0
1988,3,0
behooves,1,0
undo,1,0
conscript,1,0
butterfly,2,0
grainier,1,0
eradicates,1,0
despairand,1,0
artistryis,1,0
lew,2,0
risked,2,1
insulated,3,0
wwi,1,0
disastrous,4,8
utterance,3,0
reluctance,1,1
1930,5,0
laboured,2,3
cogency,1,0
abbott,3,0
warisfolly,1,0
1929,2,1
uninvolving,2,9
concentrate,11,0
baumer,1,0
unflappably,2,0
eyecandy,1,1
aboveall,2,0
coffer,1,0
chching,1,0
fixedly,1,0
mclaren,1,0
shakycam,2,1
amateurdramatic,1,0
recap,1,2
spruced,1,0
monstropolis,2,0
pleasantville,1,0
whisk,2,0
carpet,4,0
kidswearoutthedvdrewatchingit,1,0
upgraded,2,0
3dification,1,0
ragtag,4,1
twodimensional,2,0
spinningplates,1,0
incso,1,0
yielded,4,0
juncture,1,0
dependence,1,1
concretesomething,1,0
shrek,41,2
ecery,1,0
tilt,3,1
snack,1,0
hoover,1,0
whatevers,2,0
nothin,1,0
cooperative,2,0
aahhh,1,0
podemos,1,0
vanguardia,1,0
aroma,2,0
calidad,1,0
sello,1,0
800pound,2,0
reigning,5,1
pequeño,1,0
paso,2,0
adelante,1,0
respecto,1,0
animación,2,0
computadora,1,0
salto,1,0
diversión,1,0
alto,4,0
highenergy,5,0
issued,1,0
renewable,2,0
prodigiously,2,0
knocking,3,0
unreality,4,0
adultdriven,1,0
supple,3,0
technologically,4,0
indulgent,7,3
realist,8,1
salon,1,0
pixy,1,0
maxfield,1,0
parrish,1,0
savoir,1,0
faire,4,0
vaudeville,2,0
razzmatazz,3,0
inquire,1,0
extrapolate,1,0
duo,19,2
abbot,1,0
costello,2,0
everimproving,1,0
opts,6,5
babyish,0,1
passably,2,2
plopping,1,0
burp,1,1
atlantis,1,0
deficit,1,0
pdi,1,0
answering,4,1
outta,2,2
sulley,1,0
boo,3,0
committee,2,3
worried,8,1
allayed,1,0
circuitry,2,0
exultant,1,0
scintilla,1,0
zippity,1,0
kidseye,1,0
adultpitched,1,0
slywitted,1,0
kidsofallages,1,0
constructively,1,0
prisming,0,1
mint,3,1
popcorntastic,1,0
fellini,98,6
resurface,3,0
dolce,16,2
vita,15,2
masina,17,0
giulietta,14,0
strada,14,0
cabiria,9,0
ascesis,1,0
renunciation,1,0
constituent,1,0
cabirias,4,0
masinas,5,0
demolish,2,0
pixieish,2,0
bypath,1,0
demimonde,3,0
nightclub,4,1
mambo,2,0
silentmovie,1,0
prostitute,2,1
misfortune,4,0
husband,14,1
federico,21,2
outskirt,2,0
fortification,1,0
yum,1,0
ingnua,2,0
sempre,5,0
esperanosa,1,0
cabria,1,0
definitiva,3,0
marcantes,2,0
constri,1,0
incrivelmente,1,0
revelador,1,0
selfpity,1,4
preferring,2,0
penetrate,3,0
jar,6,1
determinism,2,0
massinas,1,0
pather,15,0
panchali,14,0
satyajit,12,0
ravi,3,0
shankar,3,0
subrata,1,0
mitra,2,0
timesense,1,0
trivial,10,6
telegraphpole,1,0
india,5,0
locality,1,0
humblest,1,0
indian,10,0
participate,3,1
bengal,1,0
village,8,1
apu,4,0
ye,4,1
santayjit,1,0
beckoned,1,0
durga,1,0
complacent,2,3
eyeopening,7,0
loft,1,0
shatteringly,3,0
overassertive,0,1
underdeveloped,3,3
panchalis,1,0
novice,2,2
subir,1,0
banerjee,1,0
glowingly,2,0
dappled,1,0
daisy,11,0
1955,2,1
spellbinder,3,0
underpinned,2,0
sitar,1,0
groundseye,1,0
bengali,2,0
justly,9,0
unveiling,2,0
inarguably,3,0
apus,1,0
manhood,3,0
poetically,6,0
poetical,2,0
characterized,8,1
minelli,1,0
americana,15,0
st,20,2
5yearolds,1,0
1903,4,0
obrien,8,0
vincente,5,0
minnelli,9,0
hinge,7,0
spelling,3,0
restful,1,0
sally,3,0
benson,1,0
yorker,3,0
louisiana,1,0
gaily,1,1
1945,9,0
pleasantest,1,0
thumbed,1,0
encrusted,2,0
homesick,1,0
missouri,1,0
merriment,5,0
fuss,7,4
vinewreathed,1,0
beau,1,0
favorably,2,1
diary,2,0
neighbour,3,0
castling,1,0
unstrained,1,0
enact,2,0
naturalness,5,0
horseandbuggy,1,0
lucille,2,0
bremer,2,0
tootie,2,0
metrogoldwynmayer,1,0
highlyagreeable,1,0
sodifferent,1,0
turnofthecentury,1,0
bensons,1,0
currier,1,0
ives,1,0
postcardperfect,1,1
discernible,3,2
beckons,3,0
pastel,2,0
bestthe,2,0
midwest,3,0
obriens,2,0
rearing,1,0
popmatters,1,0
musicalcomedy,2,0
romanticised,1,0
bystander,3,1
minnellis,3,0
integrate,1,0
simplemindedness,1,1
sisterly,1,0
runningmate,1,0
wellbalanced,4,0
hollwood,1,0
swriling,1,0
movment,1,0
genteel,6,0
gingerpeachy,1,0
alchemic,1,0
laughton,7,0
role—the,1,0
wily,4,0
curmudgeon—and,1,0
prosecution,8,0
dramamystery,1,0
twistheavy,1,0
smugly,1,0
afforded,6,2
robarts,1,0
missus,1,0
lanchester,1,1
exuberantly,8,0
recommendable,2,1
lowbrow,7,10
wilfrid,1,0
marlene,4,0
dietrich,5,0
whir,2,0
tidily,1,0
expressionless,1,0
engrosses,4,0
twistridden,1,0
miseenscene,5,0
judys,1,0
meller,1,0
arousing,1,0
trickedup,2,0
kayla,26,0
subjective,7,2
burnham,92,1
memeready,1,0
surfer,1,0
anxietyinducing,2,0
dumbo,2,0
fumbling,6,0
grader,2,0
elsie,35,0
fisher,59,0
kaylas,13,0
transitioning,1,0
pimple,2,2
cringeworthy,6,5
gucci,1,0
schoola,1,0
algebra,1,0
postmillennial,1,0
dollhouse,4,1
ecstasywell,1,0
agonyof,1,0
inperson,1,0
betwixt,1,0
advises,1,0
stun,6,0
forgo,2,0
articulacy,1,0
snapchatfiltered,1,0
selfie,1,0
unassumingly,1,0
watchbut,1,0
youngteen,1,0
modifies,1,0
gruelling,1,0
howlingly,2,4
undiscovered,4,0
fanning,1,2
discredit,2,0
cringeinducingly,1,0
ums,1,0
slipped,7,0
shrank,1,0
cringeinducing,8,3
comingofager,1,0
tweens,1,5
recess,5,2
untapped,2,0
artfullycomposed,1,0
hormone,3,0
disinterest,1,0
blotch,1,0
excruciation,2,0
bullshit,1,1
warn,1,2
triggering,4,0
recommending,3,0
realfrankly,1,0
anxiousness,2,0
horniness,1,0
awkwardly,5,7
defiance,4,0
pluggedin,3,0
shortcircuiting,1,0
haywire,2,0
alarmist,1,0
condemning,4,0
wincingly,2,1
introverted,3,0
technophobia,1,0
misogyny,4,3
leveled,2,1
toxic,7,4
belong,12,3
overstylized,1,0
reliance,3,6
yearend,5,1
horrifically,2,3
transcendently,2,0
undiagnosed,1,0
edict,1,0
lovably,4,0
miserably,3,4
brushed,2,1
slouched,1,0
replication,1,0
masha,1,0
practicing,2,0
babysteps,1,0
selfempowerment,2,0
girlsstyle,1,0
omg,1,0
kaylaand,1,0
eighthgrade,2,0
selfand,1,0
lunchroom,2,0
birthdayparty,1,0
sliceofgirlhood,1,0
teenspeak,1,0
ghastliest,1,0
adorably,2,0
internet,12,7
ratifies,2,0
exploitive,1,1
supercilious,3,0
postsocialmedia,1,0
molly,1,15
ringwald,1,0
snapchat,1,0
lookatme,1,0
leavemealone,1,0
cranked,4,2
shivery,3,0
splinter,2,0
smacked,1,0
invidious,1,0
subjecting,2,0
acuity,7,0
artless,1,3
indiemovie,0,1
servedup,0,1
traumatic,3,0
burnhamseighth,1,0
gradeis,1,0
middleschooler,1,0
offline,1,0
onepiece,1,0
being13ness,1,0
unmoored,2,1
94,2,2
radiating,5,0
retroactive,1,0
soothe,1,0
watered,1,1
fullbody,1,1
startlingly,15,2
singersongwritermusician,1,0
thirteen,5,0
tray,1,0
drawback,5,0
hobby,2,0
eeriness,2,0
posthuman,1,0
wrenchingly,1,0
meltingly,1,0
notsosmall,1,0
teenagerdom,1,0
weepy,1,4
triumpha,1,0
neverpunishing,1,0
cinéma,2,0
vérité,2,0
hissable,1,0
shyness,1,0
posting,1,0
chat,2,1
befuddled,1,1
abused,1,0
openwound,1,0
insular,3,1
teasing,6,2
bonfire,1,1
cringefest,1,0
mumble,1,2
stutter,2,0
vantage,1,0
elise,1,0
effectiveif,1,0
revelatorywatch,1,0
normandy,1,0
hipper,4,0
socialmediasaturated,1,0
worstcasescenario,1,0
endow,1,0
judith,6,0
housekeeper,2,0
danvers,6,0
blackmail,1,2
romanticgothic,1,0
laurence,9,1
joan,21,3
fontaine,14,0
decorates,1,0
mandeley,1,0
fawkes,0,1
fireproof,0,1
booth,3,3
selznick,5,0
wuthering,2,0
mauriers,8,0
forbidding,4,1
malignancy,2,0
symphathetic,1,0
shipwreck,1,1
watersoaked,1,0
corps,5,3
inquest,1,0
fleshcurling,1,0
synonym,3,0
heartstirring,1,0
daphne,7,3
maurier,2,0
supervision,3,1
rave,3,0
merited,1,0
embarrass,3,1
riches,1,0
creditable,2,0
florence,11,0
hopper,2,2
gladys,2,0
cooper,10,5
beatrice,1,0
augment,2,0
malignant,1,1
favell,1,0
modulation,2,1
instill,2,0
sherwood,4,1
englishman,1,0
jamaica,1,0
inn,1,0
denny,1,0
aubrey,1,0
psychodramas,1,0
ratched,2,0
stepmother,1,0
barness,1,0
raveworthy,1,0
emanates,4,0
fontaines,3,0
conceded,2,1
dour,6,0
ultrabritish,1,0
overlongit,1,0
undoubted,2,1
interpersonal,7,1
selfconsciously,6,4
productional,1,0
waxmans,1,0
reveled,1,0
sharpening,4,0
talon,1,0
wren,1,0
documenting,4,0
nameless,2,1
initiation,2,0
attends,3,0
fetishisation,1,0
discriminating,3,4
picturization,2,0
fouryear,1,0
obsessively,3,0
maid,3,0
stalker,8,0
tarkobvky,1,0
tarkovsky,21,0
matted,1,0
presage,2,0
chernobyl,2,0
difficulttopinpoint,1,0
mesmerism,1,0
dramaturgical,1,0
saucer,2,0
undertaken,3,0
aa,1,3
soviet,12,0
unionand,1,0
sleepwalk,1,0
andrei,5,3
careerlong,1,0
sartre,1,0
murmuring,1,0
reentrusts,1,0
upheld,2,0
pasolinis,1,0
salò,1,0
testifying,1,0
unearthly,2,0
mingled,2,0
solaris,4,0
inquiry,1,2
multifunctional,1,0
curriculum,1,0
prosepoem,1,0
internalized,5,1
lucidly,2,0
benign,5,1
unstable,4,1
summons,5,0
sere,1,0
winston,3,0
schwarzenegger,6,0
arnold,7,2
schwarzeneggers,2,0
matriarchal,1,0
thrillpacked,1,0
strictest,1,0
sculpted,2,0
bodybuilder,3,0
silhouette,1,0
proactive,2,0
sarah,5,6
connors,2,0
dosed,1,0
wooden,2,16
secondrate,3,6
lofi,1,0
warravaged,1,0
havoc,6,0
pecs,2,0
flank,1,0
sequitur,1,0
inauthentic,2,1
nervebludgeoning,1,0
tossup,1,0
propulsively,3,0
cyborg,2,0
repertoire,5,0
prayerful,1,0
cyberpunk,3,0
flirt,6,1
guttestosteronefueled,1,0
estrogenboosted,1,0
choppy,4,3
stateofthe80s,1,0
hulk,26,0
techu2022noir,1,0
guv,1,0
souvenir,3,0
musclebound,1,0
blip,3,1
highpotency,1,0
prechristmas,2,0
indiscriminate,2,0
unpc,1,1
roughedged,5,0
contend,4,0
t2,1,0
moviea,2,0
technoir,1,0
1984,6,0
bettercrafted,1,0
pretention,1,0
bodybuilding,1,0
physique,4,0
pearces,3,0
way—by,1,0
remembers—and,1,0
…one,1,0
made…one,1,0
puzzleboxes…,1,0
carrie,2,0
timeline,13,0
gaslight,2,0
sophomore,8,0
draped,3,1
halfremembered,1,1
nonlinear,8,2
pushin,1,0
envelop,2,0
destabilized,1,0
destabilizes,1,0
borgesian,1,0
overworked,1,1
confounding,4,2
mill,2,2
precedes,3,1
almosttoocleverforitsowngood,1,0
unreliable,1,1
gasbag,0,1
disorientation,3,0
nono,1,0
rusty,2,2
disorienting,6,0
tattoo,3,1
fruitlessness,1,0
crimerevenge,0,1
regression,1,0
disassembles,1,0
dissatisfied,0,4
circular,4,0
